ID,label,label0,label1,label2,label3,label4
92,9,1,1,1,1,1
93,4,4,4,4,4,4
94,9,9,9,9,7,7
95,5,4,4,4,4,4
96,8,2,2,2,2,2
97,2,2,4,2,4,2
98,3,3,3,3,3,3
99,3,2,2,2,2,2
100,9,1,1,1,1,1
101,2,5,5,5,5,5
102,5,7,7,7,7,7
103,3,9,9,9,9,9
104,8,4,4,6,6,4
105,4,5,5,5,5,5
106,9,7,7,7,7,7
107,7,9,9,9,9,9
108,8,8,8,8,8,8
109,1,8,8,8,8,8
110,7,4,4,2,6,4
111,9,4,4,4,4,4
112,0,6,6,6,6,6
113,6,5,5,5,5,5
114,0,5,5,5,5,5
115,1,6,6,6,6,6
116,6,2,2,2,2,6
117,9,7,7,7,7,7
118,5,1,1,1,1,1
119,8,3,3,3,3,4
120,8,2,2,2,2,2
121,3,9,9,9,9,9
122,4,2,2,6,6,6
123,0,7,7,7,7,7
124,9,6,6,6,6,6
125,5,0,0,0,0,0
126,8,8,8,8,8,8
127,7,4,4,4,4,4
128,8,8,8,8,8,8
129,7,7,7,7,7,7
130,7,9,9,9,9,9
131,2,0,0,6,3,0
132,2,4,4,4,4,4
133,8,4,4,4,4,4
134,9,8,8,8,8,8
135,2,1,1,1,1,1
136,4,4,4,2,4,4
137,8,7,7,7,7,7
138,5,3,3,3,6,6
139,6,8,8,8,8,8
140,8,2,2,2,2,2
141,9,0,0,0,0,0
142,9,3,3,3,3,3
143,9,9,9,9,9,9
144,7,0,0,3,0,0
145,4,4,4,4,4,4
146,0,5,5,5,5,5
147,5,2,2,2,2,2
148,7,6,6,6,6,6
149,8,8,8,8,8,8
150,7,2,2,2,2,2
151,1,7,7,7,7,7
152,2,6,6,6,6,6
153,7,0,0,0,6,0
154,4,5,5,5,5,5
155,6,9,9,9,9,9
156,3,2,2,2,2,2
157,2,0,0,0,0,0
158,8,7,9,7,7,7
159,0,4,4,4,4,4
160,4,3,3,3,3,3
161,2,1,1,1,1,1
162,6,4,4,4,2,4
163,6,6,4,6,6,6
164,9,6,6,6,6,6
165,4,3,3,3,3,3
166,5,8,8,8,8,8
167,4,6,6,6,6,6
168,0,2,2,4,4,4
169,0,5,5,5,5,5
170,4,2,2,2,2,2
171,7,6,6,6,6,6
172,7,4,4,4,2,4
173,7,4,4,4,4,4
174,5,5,5,5,5,5
175,6,2,2,2,2,2
176,2,6,6,6,6,6
177,5,3,3,3,3,3
178,0,3,3,3,3,3
179,1,4,4,4,4,4
180,3,0,0,0,0,0
181,6,9,9,9,9,9
182,5,9,9,9,9,9
183,3,8,8,8,8,8
184,0,2,2,2,2,2
185,5,6,0,0,6,6
186,4,8,8,8,8,8
187,7,0,0,0,0,0
188,9,5,5,5,5,5
189,3,0,6,0,0,0
190,9,2,4,2,2,2
191,3,1,1,1,1,1
192,5,4,4,4,4,4
193,7,1,1,1,1,1
194,0,1,1,1,1,1
195,5,7,7,7,7,7
196,2,3,3,3,3,3
197,2,3,3,3,3,3
198,2,5,5,5,5,5
199,4,7,7,7,7,7
200,9,2,2,2,2,2
201,8,2,2,6,6,6
202,0,8,8,8,8,8
203,7,7,5,5,5,5
204,3,7,7,7,7,7
205,1,4,4,4,4,4
206,9,8,8,8,8,8
207,7,9,9,9,9,9
208,6,8,8,8,8,8
209,1,4,4,2,4,4
210,5,0,0,0,0,0
211,1,4,4,4,4,4
212,7,9,9,9,9,9
213,2,5,5,5,5,5
214,6,7,7,7,7,7
215,4,6,6,6,6,6
216,4,1,1,1,1,1
217,6,0,0,3,3,3
218,1,2,2,2,2,2
219,9,2,2,2,2,2
220,3,1,1,1,1,1
221,0,3,3,3,3,3
222,4,5,5,5,5,5
223,4,7,7,7,7,7
224,7,2,2,2,2,2
225,8,5,5,5,5,5
226,4,3,3,3,3,3
227,5,3,3,3,3,3
228,1,3,3,3,3,3
229,6,0,0,0,0,0
230,8,7,7,7,7,7
231,4,9,9,9,9,9
232,7,1,1,1,1,1
233,5,1,1,1,1,1
234,9,8,8,8,8,8
235,7,3,3,3,3,3
236,6,2,2,2,2,2
237,8,1,1,1,1,1
238,1,7,7,7,7,7
239,3,1,1,1,1,1
240,2,3,3,3,3,3
241,4,3,3,3,3,3
242,4,9,9,9,9,9
243,2,7,7,7,7,7
244,8,5,5,5,5,5
245,7,2,2,2,2,2
246,4,1,1,1,1,1
247,4,8,8,8,8,8
248,4,5,5,5,5,7
249,5,8,8,8,8,8
250,6,3,4,3,4,4
251,6,8,8,8,8,8
252,0,2,2,2,2,6
253,1,0,0,0,0,0
254,4,5,5,5,5,5
255,3,0,0,0,0,0
256,0,1,1,1,1,1
257,4,6,6,6,6,6
258,6,3,3,3,3,3
259,7,4,4,2,2,4
260,1,7,7,7,7,7
261,0,6,6,6,6,6
262,7,4,4,2,4,4
263,3,3,3,3,3,3
264,9,9,9,9,9,9
265,5,2,2,2,2,2
266,6,8,8,8,8,8
267,5,7,7,7,7,7
268,5,5,5,5,5,5
269,7,6,6,6,6,6
270,1,0,0,0,2,0
271,8,2,2,2,2,2
272,1,2,2,2,2,2
273,0,5,5,5,5,5
274,9,2,2,2,2,2
275,8,0,0,0,0,0
276,5,2,2,2,2,2
277,7,9,9,9,9,9
278,3,5,5,5,5,5
279,5,2,2,2,2,2
280,2,1,1,1,1,1
281,9,1,1,1,1,1
282,4,1,1,1,1,1
283,3,5,5,5,5,5
284,1,2,2,2,2,6
285,4,2,2,2,2,2
286,4,8,8,8,8,8
287,0,8,8,8,8,8
288,2,7,7,7,7,7
289,9,8,8,8,8,8
290,6,8,8,8,8,8
291,0,7,7,7,7,7
292,3,0,0,0,0,0
293,7,7,7,7,7,7
294,5,1,1,1,1,1
295,9,0,0,0,0,0
296,0,5,5,5,5,5
297,9,0,0,0,0,0
298,9,3,3,3,3,3
299,8,9,9,9,9,9
300,8,4,4,4,4,4
301,2,0,0,6,6,0
302,4,9,9,9,9,9
303,6,6,6,6,6,6
304,0,4,4,4,4,4
305,8,2,2,2,2,2
306,7,2,2,2,2,2
307,7,3,3,3,3,3
308,4,0,0,0,0,0
309,3,1,1,1,1,1
310,6,2,2,2,2,2
311,5,2,2,6,2,2
312,5,6,6,6,6,6
313,5,8,8,8,8,8
314,4,0,0,0,0,6
315,6,8,8,8,8,8
316,2,1,1,1,1,1
317,6,6,6,6,6,6
318,5,3,3,3,3,3
319,7,8,8,8,8,8
320,9,7,7,7,7,7
321,2,9,9,9,9,9
322,7,3,4,4,4,4
323,7,0,0,0,0,0
324,6,9,9,9,9,9
325,1,0,0,0,0,6
326,3,8,8,8,8,8
327,5,3,3,3,3,3
328,9,8,8,8,8,8
329,5,1,1,1,1,1
330,1,1,1,1,1,1
331,4,8,8,8,8,8
332,2,4,4,4,2,4
333,4,2,3,2,5,3
334,8,9,9,9,9,9
335,6,8,8,8,8,8
336,1,5,5,5,5,5
337,6,4,2,4,4,4
338,7,8,8,8,8,8
339,8,4,4,4,4,4
340,0,5,5,5,5,5
341,5,0,0,0,0,0
342,7,2,2,2,2,2
343,6,8,8,8,8,8
344,3,8,8,8,8,8
345,9,6,6,6,6,6
346,3,5,5,5,5,5
347,3,0,0,0,0,0
348,0,3,3,3,3,3
349,6,4,4,4,4,4
350,8,7,7,7,7,7
351,4,6,6,6,6,6
352,3,4,4,4,4,4
353,4,9,9,9,9,9
354,1,9,9,9,9,9
355,3,3,3,3,3,3
356,1,7,7,7,7,7
357,7,8,8,8,8,8
358,8,8,8,8,8,8
359,0,6,6,6,6,6
360,1,7,7,7,7,7
361,8,1,1,1,1,1
362,3,4,4,4,4,4
363,9,5,5,5,5,5
364,7,8,4,8,4,4
365,4,0,0,0,0,0
366,6,2,2,2,2,2
367,1,7,7,7,7,7
368,0,4,4,4,4,4
369,2,1,1,1,1,1
370,3,4,4,6,6,6
371,3,1,1,1,1,1
372,4,8,8,8,8,8
373,9,8,8,8,8,8
374,5,3,3,3,3,3
375,3,3,3,3,3,3
376,6,8,8,8,8,8
377,0,6,6,6,6,6
378,0,4,4,4,4,4
379,8,0,0,0,0,0
380,8,2,2,2,2,2
381,0,2,2,2,2,2
382,7,5,5,5,5,5
383,8,3,1,3,3,3
384,6,1,1,1,1,1
385,5,9,9,9,9,9
386,8,7,7,7,7,7
387,6,8,8,8,8,8
388,2,8,8,8,8,8
389,5,7,7,7,7,7
390,4,3,3,3,3,3
391,1,9,9,9,9,9
392,3,6,6,6,6,6
393,4,5,5,5,5,5
394,2,2,2,2,2,2
395,5,2,2,2,2,2
396,5,6,6,6,6,6
397,2,7,7,7,7,7
398,6,6,6,6,6,6
399,2,3,3,3,3,3
400,2,4,4,4,4,4
401,5,7,7,7,7,7
402,2,6,6,6,6,6
403,9,5,5,5,5,5
404,4,6,6,6,6,6
405,9,9,9,9,9,9
406,8,9,9,9,9,9
407,9,7,7,7,7,7
408,1,6,6,6,6,6
409,5,7,7,7,7,7
410,0,0,0,0,0,0
411,8,4,4,4,4,4
412,4,9,9,9,9,9
413,1,6,6,6,6,6
414,8,9,9,9,9,9
415,2,9,9,9,9,9
416,2,9,9,9,9,9
417,6,1,1,1,1,1
418,8,5,5,5,5,5
419,9,5,5,5,5,5
420,2,2,2,2,2,2
421,7,0,0,0,0,0
422,4,0,0,6,0,0
423,1,6,6,6,6,6
424,7,0,0,0,6,6
425,3,0,0,0,0,0
426,4,0,0,0,0,0
427,1,6,6,6,6,6
428,4,8,8,8,8,8
429,0,7,7,7,7,7
430,7,5,5,5,5,5
431,3,8,8,8,8,8
432,0,2,2,2,2,2
433,8,4,4,4,2,4
434,8,0,0,0,0,0
435,2,6,6,6,6,6
436,2,4,8,4,4,8
437,5,6,4,6,4,6
438,4,3,3,3,3,3
439,3,7,7,7,7,7
440,7,5,5,2,5,5
441,4,7,7,7,7,7
442,0,8,8,8,8,8
443,9,3,3,3,3,3
444,6,8,8,8,8,8
445,2,5,5,5,5,5
446,8,5,5,5,5,5
447,5,1,1,1,1,1
448,0,2,2,2,2,2
449,3,1,1,1,1,1
450,4,2,2,4,4,6
451,9,9,9,9,9,9
452,8,7,7,7,7,7
453,3,1,1,1,1,1
454,1,4,4,3,4,4
455,2,5,5,5,5,5
456,4,8,8,8,8,8
457,6,4,4,4,4,4
458,2,0,0,0,0,0
459,3,4,4,4,4,4
460,7,3,3,3,3,3
461,8,3,3,3,3,3
462,5,6,6,6,6,6
463,5,5,5,5,5,5
464,5,0,0,0,0,0
465,3,4,4,6,2,6
466,7,5,5,5,5,5
467,6,9,9,9,9,9
468,0,3,3,3,3,3
469,4,6,6,6,6,6
470,3,5,5,5,5,5
471,6,8,8,8,8,8
472,0,9,9,9,9,9
473,7,0,0,0,0,0
474,5,0,0,0,0,0
475,0,6,6,6,6,6
476,9,6,6,6,6,6
477,0,0,0,0,0,0
478,5,6,2,2,2,4
479,4,9,9,9,9,9
480,3,1,1,1,1,1
481,2,7,7,7,7,7
482,0,8,8,8,8,8
483,1,1,1,1,1,1
484,4,5,5,5,5,5
485,6,8,8,8,8,8
486,5,6,6,6,6,4
487,7,1,1,1,1,1
488,3,8,8,8,8,8
489,2,3,4,4,3,3
490,9,4,4,4,4,4
491,4,9,9,9,9,9
492,5,2,2,2,2,2
493,2,2,2,2,2,2
494,7,7,7,7,7,7
495,6,7,7,7,8,7
496,7,2,2,4,4,4
497,3,6,6,6,6,6
498,4,7,7,7,7,7
499,3,4,4,4,4,4
500,8,6,6,6,6,6
501,5,5,5,5,5,5
502,2,0,6,6,0,6
503,0,6,4,6,6,6
504,6,6,6,6,6,6
505,3,4,4,4,4,4
506,1,3,3,3,3,3
507,3,1,1,1,1,1
508,3,9,9,9,9,9
509,0,0,0,0,0,0
510,0,5,5,5,5,5
511,6,0,6,0,0,6
512,9,7,7,7,7,7
513,3,0,0,0,3,0
514,7,7,7,7,7,7
515,4,4,4,4,4,4
516,1,6,2,2,2,2
517,3,5,5,5,5,5
518,6,7,7,7,7,7
519,7,8,8,8,8,8
520,1,7,7,7,7,7
521,2,1,1,1,1,1
522,1,2,2,2,2,6
523,7,9,9,9,9,9
524,6,1,1,1,1,1
525,0,3,3,3,3,3
526,4,3,3,3,3,3
527,5,0,0,0,0,0
528,1,6,6,6,6,6
529,6,6,6,6,6,6
530,9,8,8,8,8,8
531,4,1,1,1,1,1
532,7,0,0,0,0,0
533,2,4,4,4,4,6
534,8,9,9,9,9,9
535,8,0,0,6,0,6
536,8,8,8,8,8,8
537,3,7,7,7,7,7
538,8,3,3,3,3,3
539,9,7,7,7,7,7
540,4,4,4,4,4,4
541,3,7,7,7,7,7
542,3,1,1,1,1,1
543,8,1,1,1,1,1
544,9,3,3,3,3,3
545,2,4,4,4,4,4
546,6,4,4,4,4,4
547,1,4,4,4,4,4
548,7,7,7,7,7,7
549,4,1,1,1,1,1
550,7,1,1,1,1,1
551,8,4,4,4,4,4
552,4,9,7,9,7,9
553,0,5,5,5,5,5
554,2,7,7,7,7,7
555,8,6,6,6,6,6
556,3,8,8,8,8,8
557,1,5,5,5,5,5
558,8,7,7,7,7,7
559,0,3,3,3,3,3
560,6,8,8,8,8,8
561,5,4,4,4,4,4
562,2,8,8,8,8,8
563,1,8,8,8,8,8
564,7,7,7,7,7,7
565,1,7,7,7,7,7
566,9,5,5,5,5,5
567,7,2,2,2,2,2
568,5,0,0,0,0,0
569,9,3,3,3,3,3
570,3,1,1,1,1,1
571,7,5,5,5,5,5
572,5,6,6,6,6,6
573,4,2,2,2,2,2
574,2,9,9,9,9,9
575,9,7,7,7,7,7
576,5,1,1,1,1,1
577,1,3,3,3,3,3
578,0,2,2,2,2,2
579,6,6,6,6,6,6
580,6,0,0,0,0,0
581,0,7,7,7,7,7
582,5,9,7,9,9,9
583,8,7,7,7,7,7
584,7,8,8,8,8,8
585,7,5,5,5,5,5
586,5,7,7,7,7,7
587,7,2,2,2,2,2
588,6,3,3,3,0,3
589,3,8,8,8,8,8
590,6,9,9,9,9,9
591,5,0,0,0,0,0
592,4,7,7,7,7,7
593,2,6,0,0,0,0
594,3,3,3,3,3,3
595,5,5,5,5,5,5
596,2,9,9,9,9,9
597,7,9,9,9,9,9
598,5,5,5,5,5,5
599,9,4,4,4,4,4
600,9,5,5,5,5,5
601,9,9,9,9,9,9
602,8,3,3,3,3,3
603,9,4,4,4,4,4
604,9,5,5,5,5,5
605,9,9,9,9,9,9
606,7,0,0,0,0,0
607,4,4,4,4,4,4
608,4,8,8,8,8,8
609,5,1,1,1,1,1
610,3,4,4,4,4,4
611,1,3,4,4,4,4
612,6,5,5,5,5,5
613,4,5,5,5,5,5
614,8,5,5,5,5,5
615,6,8,8,8,8,8
616,5,8,8,8,8,8
617,4,4,4,4,4,4
618,3,9,9,9,9,9
619,0,0,0,0,0,0
620,2,7,7,7,7,7
621,9,1,1,1,3,1
622,9,0,0,6,0,0
623,9,8,8,8,8,8
624,9,4,2,2,2,2
625,4,5,5,5,5,5
626,4,2,4,2,2,2
627,2,9,9,9,9,9
628,3,7,7,5,7,5
629,8,7,7,7,7,7
630,8,1,1,1,1,1
631,1,4,4,4,4,4
632,8,2,2,2,2,2
633,2,0,0,0,0,0
634,1,2,2,2,2,2
635,0,5,5,5,5,5
636,2,0,0,0,0,6
637,2,0,0,0,0,0
638,9,5,5,5,5,5
639,5,1,1,1,1,1
640,2,8,8,8,8,8
641,3,4,4,4,4,4
642,9,8,8,8,8,8
643,5,3,3,3,3,3
644,9,6,6,6,6,6
645,1,3,3,3,3,3
646,8,4,4,4,4,4
647,3,8,8,5,5,5
648,8,1,1,1,1,1
649,2,1,1,1,1,1
650,5,4,4,4,4,4
651,8,1,1,1,1,1
652,4,7,7,7,7,7
653,5,8,8,8,8,8
654,7,8,8,8,8,8
655,9,5,5,5,5,5
656,4,5,5,5,5,5
657,4,4,4,4,4,4
658,9,4,4,4,4,4
659,9,9,9,9,9,9
660,1,1,1,1,1,1
661,1,1,1,1,1,1
662,0,2,2,2,2,2
663,9,8,8,4,8,8
664,7,4,4,4,4,4
665,1,8,8,8,8,8
666,5,2,2,2,2,2
667,1,8,8,8,8,8
668,7,0,0,3,0,0
669,1,2,2,2,2,2
670,5,6,6,6,6,6
671,1,5,5,5,5,5
672,2,9,9,9,9,9
673,3,0,0,0,0,0
674,2,8,8,8,8,8
675,4,2,2,2,2,2
676,9,5,5,5,5,5
677,7,6,6,6,6,6
678,2,4,4,4,4,4
679,8,5,5,5,5,5
680,5,7,7,7,7,7
681,1,0,0,0,0,0
682,6,3,3,3,3,3
683,9,4,4,4,4,4
684,2,8,8,8,8,8
685,9,2,2,2,2,2
686,0,7,7,7,7,7
687,1,6,6,6,6,6
688,1,6,6,6,6,6
689,5,0,0,0,0,0
690,8,4,2,4,4,4
691,9,4,4,4,4,4
692,6,0,0,0,0,0
693,6,0,0,0,0,0
694,2,1,1,1,1,1
695,8,8,8,8,8,8
696,2,6,6,6,6,6
697,4,5,5,5,5,5
698,3,3,3,3,3,3
699,7,7,7,7,7,7
700,2,6,0,6,6,6
701,7,7,7,7,7,7
702,8,0,0,0,0,6
703,0,6,6,6,0,6
704,9,2,2,2,2,2
705,7,5,5,5,5,5
706,4,8,8,8,8,8
707,5,7,7,7,7,7
708,6,9,9,9,9,9
709,9,1,1,1,1,1
710,3,9,9,9,9,9
711,9,6,6,6,6,6
712,7,7,7,7,7,7
713,2,4,4,4,4,4
714,6,2,2,2,2,2
715,3,7,7,7,7,7
716,1,7,7,7,7,7
717,6,9,9,9,9,9
718,2,5,5,5,5,5
719,2,7,7,7,7,7
720,5,2,2,2,2,2
721,6,7,7,7,7,7
722,7,5,5,5,5,5
723,6,0,0,0,0,0
724,0,3,3,3,3,3
725,1,6,6,6,6,6
726,6,2,2,2,2,2
727,1,1,1,1,1,1
728,4,4,4,4,4,4
729,0,5,5,5,5,5
730,5,0,0,0,0,0
731,7,9,9,9,9,9
732,4,9,9,9,9,9
733,3,3,4,3,4,4
734,8,2,6,6,0,6
735,2,3,3,3,3,3
736,2,7,7,7,7,7
737,0,3,3,3,3,3
738,0,2,2,2,2,2
739,5,3,3,3,3,3
740,8,4,4,4,4,4
741,4,1,1,1,1,1
742,4,7,7,7,7,7
743,8,9,9,9,9,9
744,9,1,1,1,1,1
745,9,0,0,0,0,0
746,5,5,5,5,5,5
747,1,8,8,8,8,8
748,7,2,2,2,2,2
749,7,9,9,9,9,9
750,8,0,0,0,0,0
751,3,8,8,8,8,8
752,6,9,9,9,9,9
753,9,4,4,4,4,4
754,5,0,0,0,0,0
755,9,7,7,7,7,7
756,7,2,0,6,2,2
757,9,5,5,5,5,5
758,0,8,8,8,8,8
759,7,9,9,9,9,9
760,5,3,3,3,3,3
761,4,6,6,6,6,6
762,1,9,9,9,9,9
763,9,0,0,0,0,0
764,1,7,7,7,7,7
765,5,6,6,0,2,6
766,1,1,1,1,1,1
767,4,5,5,5,5,5
768,9,3,3,3,3,3
769,3,8,8,8,8,8
770,2,5,5,5,5,5
771,7,0,0,0,0,0
772,8,5,5,5,5,5
773,3,8,8,8,8,8
774,9,5,5,5,5,5
775,1,8,8,8,8,8
776,3,8,8,8,8,8
777,4,4,3,3,4,3
778,7,5,5,5,5,5
779,8,3,6,6,2,6
780,2,1,1,1,1,1
781,6,1,1,1,1,1
782,6,6,6,6,6,6
783,1,7,7,7,7,7
784,3,3,3,3,3,3
785,3,2,2,2,2,2
786,9,5,5,5,5,5
787,5,9,9,9,9,9
788,6,7,7,7,7,7
789,3,6,6,6,6,6
790,1,4,4,4,4,4
791,3,4,4,4,4,4
792,2,7,7,7,7,7
793,8,6,6,6,6,6
794,7,9,9,9,9,9
795,8,5,5,5,5,5
796,0,6,6,6,6,6
797,4,3,3,3,3,3
798,5,5,5,5,5,5
799,1,4,4,4,4,4
800,3,7,7,7,7,7
801,0,5,5,5,5,5
802,2,0,0,0,0,0
803,4,0,0,0,0,0
804,8,8,8,8,8,8
805,8,4,4,4,4,4
806,1,4,4,4,4,4
807,7,9,9,9,9,9
808,4,4,4,4,4,4
809,5,9,9,9,9,9
810,0,7,7,7,7,7
811,0,5,5,5,5,5
812,8,1,1,1,1,1
813,2,1,1,1,1,1
814,3,1,1,1,1,1
815,8,4,4,4,4,4
816,2,5,5,5,5,5
817,4,1,1,1,1,1
818,4,7,7,7,7,7
819,4,8,8,8,8,8
820,4,0,0,0,0,0
821,3,0,0,0,0,6
822,2,7,7,7,7,7
823,8,1,1,1,1,1
824,2,0,0,5,0,0
825,2,5,5,5,5,5
826,2,5,7,5,5,7
827,1,0,0,0,0,0
828,9,7,7,7,7,7
829,9,7,7,7,7,7
830,7,4,4,4,4,4
831,7,7,7,7,7,7
832,6,8,8,8,8,8
833,7,4,4,4,4,4
834,1,7,7,7,7,7
835,5,7,7,7,7,7
836,6,5,5,5,5,5
837,1,2,2,2,2,2
838,3,2,2,2,2,2
839,8,8,8,8,8,8
840,9,6,6,6,6,6
841,6,4,4,2,4,4
842,5,4,2,2,4,4
843,1,1,1,1,1,1
844,6,1,1,1,1,1
845,8,7,7,7,7,7
846,6,8,8,5,5,5
847,5,4,4,4,4,4
848,1,0,0,6,0,0
849,2,4,4,2,4,4
850,2,9,9,9,9,9
851,1,0,0,0,0,0
852,7,4,4,4,4,4
853,4,1,1,1,1,1
854,1,4,4,4,4,4
855,6,9,9,9,9,9
856,4,8,8,8,8,8
857,2,8,8,8,8,8
858,3,3,3,3,3,3
859,9,3,3,3,3,3
860,0,1,1,1,1,1
861,0,2,2,2,2,2
862,6,6,6,6,6,6
863,5,8,8,8,8,8
864,6,0,0,0,0,0
865,8,7,9,7,9,7
866,6,8,8,8,8,8
867,4,6,6,4,2,6
868,6,9,9,9,9,9
869,2,5,5,5,5,5
870,6,9,9,9,9,9
871,6,6,6,6,6,6
872,4,5,5,5,5,5
873,2,9,9,9,9,9
874,0,9,9,9,9,9
875,8,5,5,5,5,5
876,8,9,9,9,9,9
877,9,8,8,8,8,8
878,7,2,2,2,2,2
879,5,0,0,0,0,0
880,7,9,9,9,9,9
881,8,3,2,2,2,3
882,4,3,3,3,3,3
883,3,0,0,0,0,0
884,7,2,2,2,2,2
885,6,1,1,1,1,1
886,4,0,6,6,0,0
887,8,2,2,2,2,2
888,0,5,5,5,5,5
889,2,3,3,3,3,3
890,9,6,6,6,6,6
891,1,3,3,3,3,3
892,0,0,0,6,6,0
893,5,5,5,5,5,5
894,0,0,0,0,0,0
895,7,8,8,8,8,8
896,6,9,9,9,9,9
897,5,1,1,1,1,1
898,3,4,4,4,4,4
899,1,1,1,1,1,1
900,8,2,2,2,2,2
901,6,5,5,5,5,5
902,3,5,5,5,5,5
903,3,8,8,8,8,8
904,3,4,2,4,2,4
905,1,0,0,0,0,0
906,6,1,1,1,1,1
907,6,1,1,1,1,1
908,7,9,9,9,9,9
909,2,8,8,8,8,8
910,9,5,5,5,5,5
911,7,2,2,2,2,2
912,1,9,9,9,9,9
913,4,4,4,4,4,4
914,5,5,5,5,5,5
915,2,5,5,5,5,5
916,3,2,2,2,2,4
917,7,0,0,0,0,0
918,5,8,8,8,8,8
919,9,1,1,1,1,1
920,5,4,4,4,4,4
921,2,5,5,5,5,5
922,1,1,1,1,1,1
923,1,9,9,9,9,9
924,6,5,5,5,5,5
925,2,7,5,7,5,5
926,4,9,9,9,9,9
927,6,4,4,4,4,4
928,5,2,2,2,2,2
929,9,4,4,4,4,4
930,7,7,7,7,7,7
931,0,0,3,3,0,0
932,9,5,5,5,5,5
933,5,3,3,3,3,3
934,7,8,8,8,8,8
935,0,1,1,1,1,1
936,7,8,8,8,8,8
937,0,5,5,5,5,5
938,1,9,9,9,9,9
939,0,9,9,9,9,9
940,4,8,8,8,8,8
941,1,1,1,1,1,1
942,9,1,1,1,1,1
943,3,6,6,6,6,6
944,6,2,2,2,2,2
945,5,1,1,1,1,1
946,8,9,9,9,9,9
947,2,4,4,4,4,4
948,7,3,3,3,3,3
949,7,7,7,7,7,7
950,4,3,3,3,3,3
951,1,4,4,4,4,4
952,7,7,7,7,7,7
953,8,6,6,6,6,6
954,1,1,1,1,1,1
955,0,2,2,2,2,6
956,6,0,0,0,0,0
957,1,4,4,4,4,4
958,3,6,6,6,6,6
959,7,0,0,0,0,0
960,5,9,9,9,9,9
961,7,1,1,1,1,1
962,0,2,2,2,2,2
963,9,0,0,0,0,0
964,9,2,2,2,2,6
965,1,6,4,4,4,4
966,6,7,7,7,7,7
967,6,4,4,4,4,4
968,4,3,3,3,3,3
969,8,3,3,3,3,3
970,3,8,8,8,8,8
971,7,4,4,4,4,4
972,8,2,2,2,2,2
973,3,8,8,8,8,8
974,4,0,0,0,0,0
975,1,7,7,7,7,7
976,1,2,2,2,2,2
977,2,5,5,5,5,5
978,5,3,3,3,3,3
979,5,5,5,5,5,5
980,9,1,1,1,1,1
981,0,1,1,1,1,1
982,4,0,0,0,0,0
983,8,9,9,9,9,9
984,2,9,9,9,9,9
985,2,1,1,1,1,1
986,0,1,1,1,1,1
987,6,0,0,0,0,0
988,9,6,6,6,2,6
989,9,7,7,9,7,7
990,9,4,4,4,4,4
991,7,7,7,7,7,7
992,3,8,8,8,8,8
993,1,7,7,7,7,7
994,9,4,4,4,4,4
995,6,0,0,0,0,0
996,0,2,2,2,2,2
